,cwe_id
225,NVD-CWE-Other
226,CWE-287
227,CWE-22
228,CWE-264
229,CWE-119
230,CWE-78
231,CWE-20
232,NVD-CWE-Other
233,CWE-79
234,CWE-119
235,CWE-287
236,CWE-264
237,CWE-200
238,CWE-264
239,CWE-310
240,CWE-119
241,CWE-79
242,CWE-399
243,CWE-362
244,CWE-287
245,CWE-20
246,CWE-264
247,CWE-362
248,CWE-200
249,CWE-22
250,CWE-264
251,CWE-264
252,CWE-200
253,CWE-79
254,CWE-352
255,CWE-79
256,CWE-79
257,CWE-79
258,CWE-79
259,CWE-94
260,NVD-CWE-noinfo
261,CWE-79
262,CWE-287
263,CWE-287
264,CWE-399
265,CWE-22
266,CWE-362
267,CWE-20
268,CWE-200
269,CWE-189
270,CWE-264
271,CWE-79
272,CWE-264
273,CWE-89
274,CWE-79
275,CWE-79
276,CWE-79
277,CWE-79
278,CWE-310
279,CWE-310
280,CWE-264
281,NVD-CWE-Other
282,NVD-CWE-noinfo
283,CWE-255
284,CWE-79
285,CWE-255
286,CWE-640
287,CWE-352
288,CWE-200
289,CWE-20
290,CWE-20
291,CWE-89
292,CWE-89
293,NVD-CWE-Other
294,CWE-264
295,CWE-264
296,CWE-264
297,CWE-79
298,CWE-200
299,CWE-200
300,CWE-200
301,CWE-200
302,CWE-200
303,CWE-200
304,CWE-200
305,CWE-200
306,CWE-200
307,CWE-200
308,CWE-200
309,CWE-200
310,CWE-200
311,CWE-200
312,CWE-79
313,NVD-CWE-noinfo
314,CWE-79
315,CWE-399
316,CWE-79
317,CWE-20
318,CWE-264
319,CWE-79
320,CWE-284
321,CWE-20
322,NVD-CWE-Other
323,NVD-CWE-Other
324,CWE-119
325,CWE-79
326,CWE-119
327,NVD-CWE-noinfo
328,CWE-20
329,CWE-119
330,CWE-189
331,CWE-200
332,CWE-20
333,CWE-399
334,CWE-189
335,CWE-79
336,NVD-CWE-Other
337,CWE-79
338,CWE-22
339,NVD-CWE-noinfo
340,CWE-362
341,CWE-20
342,CWE-264
343,CWE-264
344,CWE-119
345,CWE-79
346,CWE-399
347,CWE-20
348,CWE-330
349,CWE-119
350,CWE-119
351,NVD-CWE-Other
352,NVD-CWE-noinfo
353,CWE-20
354,CWE-200
355,CWE-79
356,CWE-79
357,CWE-362
358,CWE-264
359,CWE-276
360,CWE-119
361,CWE-310
362,CWE-20
363,CWE-22
364,CWE-94
365,CWE-20
366,CWE-399
367,CWE-79
368,CWE-119
369,CWE-264
370,CWE-362
371,CWE-119
372,CWE-399
373,CWE-20
374,CWE-264
375,CWE-264
376,CWE-79
377,CWE-399
378,CWE-20
379,NVD-CWE-Other
380,NVD-CWE-Other
381,CWE-20
382,CWE-20
383,CWE-264
384,CWE-119
385,CWE-611
386,CWE-200
387,CWE-119
388,CWE-79
389,CWE-79
390,CWE-20
391,CWE-200
392,CWE-264
393,CWE-264
394,CWE-264
395,CWE-264
396,CWE-264
397,CWE-269
398,CWE-399
399,CWE-269
400,CWE-399
401,CWE-79
402,CWE-79
403,CWE-79
404,CWE-94
405,CWE-119
406,CWE-200
407,CWE-89
408,CWE-79
409,CWE-20
410,CWE-189
411,NVD-CWE-Other
412,CWE-399
413,CWE-119
414,CWE-400
415,NVD-CWE-Other
416,NVD-CWE-Other
417,CWE-20
418,CWE-20
419,CWE-399
420,CWE-20
421,CWE-20
422,CWE-119
423,CWE-264
424,NVD-CWE-Other
425,CWE-79
426,CWE-119
427,CWE-119
428,CWE-119
429,CWE-119
430,CWE-20
431,CWE-119
432,CWE-119
433,CWE-264
434,CWE-310
435,CWE-310
436,CWE-310
437,CWE-89
438,CWE-189
439,CWE-399
440,CWE-399
441,CWE-399
442,CWE-20
443,CWE-476
444,CWE-119
445,CWE-264
446,CWE-264
447,CWE-200
448,CWE-89
449,CWE-79
450,CWE-200
451,CWE-200
452,CWE-200
453,CWE-200
454,CWE-200
455,CWE-200
456,CWE-200
457,CWE-200
458,CWE-200
459,CWE-200
460,CWE-200
461,CWE-200
462,CWE-200
463,CWE-200
464,CWE-200
465,CWE-200
466,NVD-CWE-noinfo
467,CWE-94
468,CWE-119
469,NVD-CWE-Other
470,CWE-362
471,CWE-89
472,CWE-275
473,CWE-835
474,CWE-20
475,CWE-79
476,CWE-476
477,CWE-476
478,CWE-399
479,CWE-399
480,CWE-20
481,CWE-59
482,NVD-CWE-Other
483,CWE-399
484,CWE-399
485,CWE-79
486,CWE-94
487,CWE-399
488,NVD-CWE-noinfo
489,CWE-119
490,CWE-189
491,CWE-79
492,CWE-269
493,CWE-20
494,CWE-119
495,CWE-119
496,NVD-CWE-Other
497,CWE-20
498,CWE-200
499,CWE-264
500,CWE-264
501,CWE-119
502,CWE-310
503,CWE-79
504,CWE-119
505,CWE-22
506,CWE-264
507,CWE-264
508,CWE-79
509,CWE-264
510,CWE-189
511,CWE-79
512,CWE-255
513,CWE-189
514,CWE-119
515,CWE-119
516,CWE-119
517,CWE-200
518,CWE-200
519,CWE-502
520,CWE-119
521,CWE-668
522,CWE-352
523,CWE-189
524,CWE-20
525,CWE-119
526,CWE-119
527,CWE-399
528,CWE-20
529,NVD-CWE-noinfo
530,CWE-264
531,CWE-89
532,CWE-89
533,CWE-79
534,CWE-352
535,NVD-CWE-Other
536,CWE-20
537,CWE-94
538,CWE-352
539,CWE-20
540,CWE-399
541,NVD-CWE-noinfo
542,CWE-79
543,CWE-20
544,CWE-20
545,CWE-189
546,CWE-20
547,CWE-119
548,CWE-310
549,CWE-255
550,CWE-189
551,CWE-189
552,CWE-20
553,CWE-119
554,CWE-264
555,CWE-310
556,CWE-264
557,NVD-CWE-Other
558,CWE-264
559,CWE-200
560,CWE-264
561,CWE-79
562,CWE-119
563,CWE-200
564,CWE-94
565,NVD-CWE-Other
566,CWE-119
567,CWE-189
568,CWE-119
569,CWE-119
570,CWE-189
571,CWE-189
572,CWE-20
573,CWE-119
574,NVD-CWE-Other
575,CWE-119
576,CWE-20
577,CWE-119
578,CWE-399
579,CWE-119
580,CWE-119
581,CWE-119
582,CWE-362
583,CWE-119
584,CWE-74
585,CWE-287
586,CWE-20
587,CWE-20
588,CWE-310
589,CWE-352
590,CWE-200
591,CWE-89
592,CWE-189
593,CWE-200
594,CWE-79
595,CWE-352
596,CWE-89
597,CWE-20
598,CWE-20
599,CWE-20
600,CWE-20
601,CWE-20
602,CWE-20
603,CWE-20
604,CWE-20
605,CWE-20
606,CWE-200
607,CWE-362
608,CWE-20
609,CWE-200
610,CWE-264
611,CWE-476
612,CWE-79
613,CWE-79
614,CWE-264
615,CWE-399
616,CWE-79
617,CWE-74
618,CWE-74
619,CWE-77
620,CWE-269
621,CWE-310
622,CWE-399
623,CWE-200
624,NVD-CWE-Other
625,CWE-22
626,CWE-310
627,NVD-CWE-Other
628,CWE-125
629,CWE-119
630,CWE-400
631,CWE-119
632,CWE-787
633,CWE-264
634,CWE-20
635,NVD-CWE-Other
636,NVD-CWE-noinfo
637,CWE-310
638,CWE-120
639,CWE-119
640,CWE-189
641,CWE-119
642,CWE-20
643,CWE-264
644,CWE-787
645,CWE-916
646,CWE-20
647,CWE-476
648,CWE-352
649,CWE-287
650,CWE-416
651,CWE-78
652,CWE-352
653,CWE-310
654,CWE-269
655,CWE-362
656,CWE-416
657,CWE-119
658,NVD-CWE-Other
659,CWE-119
660,CWE-399
661,CWE-119
662,NVD-CWE-Other
663,CWE-20
664,CWE-352
665,CWE-119
666,CWE-189
667,CWE-119
668,CWE-22
669,CWE-434
670,CWE-732
671,CWE-119
672,CWE-119
673,CWE-89
674,CWE-79
675,CWE-264
676,NVD-CWE-Other
677,CWE-399
678,CWE-399
679,CWE-399
680,CWE-89
681,CWE-89
682,NVD-CWE-Other
683,CWE-200
684,CWE-94
685,CWE-754
686,CWE-200
687,CWE-200
688,NVD-CWE-Other
689,CWE-20
690,CWE-59
691,CWE-79
692,CWE-20
693,CWE-59
694,CWE-79
695,CWE-79
696,CWE-59
697,CWE-264
698,CWE-79
699,CWE-20
700,CWE-189
701,CWE-200
702,CWE-20
703,CWE-264
704,CWE-22
705,CWE-310
706,CWE-287
707,NVD-CWE-noinfo
708,CWE-200
709,CWE-79
710,CWE-287
711,CWE-79
712,CWE-264
713,CWE-79
714,CWE-264
715,CWE-79
716,CWE-79
717,CWE-79
718,CWE-119
719,CWE-200
720,CWE-20
721,NVD-CWE-Other
722,NVD-CWE-Other
723,CWE-264
724,CWE-200
725,CWE-79
726,CWE-189
727,CWE-362
728,CWE-20
729,CWE-362
730,CWE-20
731,CWE-264
732,CWE-79
733,CWE-189
734,CWE-89
735,CWE-400
736,CWE-190
737,CWE-125
738,CWE-79
739,CWE-269
740,CWE-119
741,CWE-119
742,CWE-119
743,CWE-119
744,CWE-119
745,CWE-119
746,CWE-119
747,CWE-59
748,CWE-119
749,CWE-189
750,CWE-20
751,CWE-20
752,NVD-CWE-Other
753,CWE-20
754,CWE-269
755,CWE-119
756,CWE-399
757,CWE-79
758,CWE-310
759,NVD-CWE-Other
760,CWE-310
761,CWE-264
762,CWE-189
763,CWE-20
764,CWE-119
765,CWE-189
766,NVD-CWE-noinfo
767,CWE-362
768,NVD-CWE-Other
769,CWE-20
770,NVD-CWE-noinfo
771,NVD-CWE-noinfo
772,CWE-20
773,CWE-400
774,CWE-399
775,CWE-400
776,CWE-20
777,CWE-77
778,CWE-264
779,CWE-264
780,CWE-89
781,CWE-79
782,CWE-89
783,CWE-94
784,CWE-79
785,CWE-20
786,CWE-264
787,NVD-CWE-noinfo
788,CWE-611
789,CWE-918
790,CWE-79
791,CWE-79
792,CWE-287
793,CWE-264
794,CWE-200
795,CWE-119
796,CWE-264
797,CWE-74
798,CWE-79
799,CWE-415
800,CWE-476
801,CWE-79
802,CWE-79
803,CWE-119
804,CWE-119
805,CWE-20
806,CWE-190
807,CWE-20
808,CWE-362
809,CWE-416
810,CWE-416
811,CWE-190
812,CWE-190
813,NVD-CWE-noinfo
814,CWE-287
815,CWE-74
816,CWE-362
817,CWE-79
818,CWE-79
819,CWE-79
820,CWE-79
821,CWE-79
822,CWE-269
823,CWE-79
824,CWE-79
825,CWE-59
826,CWE-79
827,CWE-264
828,CWE-79
829,CWE-89
830,NVD-CWE-Other
831,CWE-59
832,CWE-476
833,CWE-269
834,CWE-269
835,CWE-264
836,CWE-79
837,CWE-79
838,CWE-20
839,CWE-255
840,NVD-CWE-Other
841,CWE-476
842,NVD-CWE-Other
843,NVD-CWE-Other
844,CWE-310
845,CWE-79
846,CWE-79
847,CWE-399
848,CWE-20
849,CWE-189
850,CWE-200
851,CWE-134
852,CWE-79
853,CWE-79
854,CWE-22
855,CWE-22
856,CWE-119
857,CWE-119
858,CWE-399
859,CWE-119
860,CWE-399
861,CWE-399
862,CWE-79
863,CWE-399
864,CWE-94
865,CWE-284
866,CWE-94
867,CWE-79
868,CWE-94
869,CWE-79
870,CWE-399
871,CWE-200
872,CWE-264
873,CWE-125
874,CWE-476
875,CWE-399
876,CWE-362
877,CWE-17
878,CWE-264
879,CWE-264
880,CWE-399
881,CWE-399
882,CWE-362
883,NVD-CWE-Other
884,CWE-369
885,CWE-264
886,CWE-17
887,CWE-20
888,CWE-17
889,NVD-CWE-Other
890,CWE-119
891,CWE-310
892,CWE-787
893,CWE-787
894,CWE-20
895,CWE-20
896,CWE-79
897,CWE-255
898,CWE-20
899,CWE-89
900,CWE-79
901,CWE-119
902,NVD-CWE-noinfo
903,CWE-399
904,CWE-399
905,CWE-125
906,CWE-119
907,CWE-200
908,CWE-399
909,CWE-89
910,CWE-89
911,CWE-200
912,CWE-310
913,CWE-119
914,CWE-79
915,CWE-22
916,CWE-79
917,CWE-22
918,CWE-79
919,CWE-77
920,CWE-119
921,CWE-17
922,CWE-89
923,CWE-77
924,CWE-119
925,CWE-134
926,CWE-399
927,CWE-79
928,CWE-119
929,CWE-269
930,CWE-352
931,CWE-200
932,CWE-399
933,NVD-CWE-Other
934,CWE-284
935,CWE-200
936,CWE-399
937,CWE-79
938,CWE-352
939,CWE-79
940,CWE-284
941,CWE-399
942,NVD-CWE-Other
943,NVD-CWE-noinfo
944,CWE-89
945,CWE-362
946,CWE-20
947,CWE-399
948,CWE-399
949,CWE-120
950,CWE-191
951,CWE-704
952,CWE-120
953,CWE-120
954,CWE-119
955,CWE-254
956,CWE-254
957,CWE-269
958,CWE-119
959,CWE-20
960,CWE-77
961,CWE-189
962,CWE-79
963,CWE-17
964,NVD-CWE-Other
965,CWE-119
966,CWE-362
967,CWE-79
968,NVD-CWE-Other
969,CWE-284
970,CWE-203
971,CWE-20
972,CWE-119
973,NVD-CWE-noinfo
974,NVD-CWE-noinfo
975,CWE-17
976,CWE-287
977,CWE-369
978,CWE-79
979,CWE-119
980,CWE-22
981,CWE-284
982,CWE-19
983,CWE-264
984,CWE-264
985,CWE-200
986,CWE-200
987,NVD-CWE-Other
988,CWE-79
989,CWE-416
990,NVD-CWE-noinfo
991,CWE-362
992,CWE-416
993,CWE-264
994,CWE-116
995,CWE-416
996,CWE-310
997,CWE-310
998,CWE-119
999,CWE-20
1000,NVD-CWE-Other
1001,CWE-269
1002,NVD-CWE-Other
1003,CWE-434
1004,CWE-19
1005,CWE-17
1006,CWE-273
1007,CWE-79
1008,CWE-59
1009,NVD-CWE-Other
1010,CWE-264
1011,CWE-79
1012,CWE-79
1013,CWE-79
1014,CWE-79
1015,CWE-22
1016,CWE-20
1017,CWE-59
1018,CWE-119
1019,CWE-17
1020,CWE-59
1021,CWE-399
1022,CWE-362
1023,CWE-264
1024,CWE-264
1025,CWE-79
1026,NVD-CWE-Other
1027,CWE-89
1028,CWE-79
1029,CWE-352
1030,CWE-17
1031,CWE-89
1032,CWE-119
1033,CWE-119
1034,CWE-89
1035,CWE-77
1036,CWE-79
1037,CWE-19
1038,CWE-352
1039,CWE-264
1040,CWE-264
1041,CWE-399
1042,CWE-119
1043,NVD-CWE-Other
1044,CWE-362
1045,CWE-399
1046,CWE-17
1047,CWE-19
1048,CWE-19
1049,CWE-200
1050,CWE-17
1051,CWE-17
1052,CWE-200
1053,CWE-264
1054,CWE-200
1055,CWE-200
1056,NVD-CWE-Other
1057,CWE-200
1058,CWE-22
1059,CWE-190
1060,CWE-191
1061,CWE-400
1062,CWE-400
1063,CWE-295
1064,CWE-295
1065,CWE-295
1066,CWE-119
1067,CWE-20
1068,CWE-79
1069,CWE-89
1070,CWE-352
1071,CWE-264
1072,CWE-284
1073,CWE-264
1074,CWE-763
1075,CWE-18
1076,CWE-125
1077,CWE-119
1078,CWE-79
1079,CWE-399
1080,CWE-399
1081,CWE-20
1082,CWE-79
1083,CWE-264
1084,CWE-119
1085,CWE-352
1086,CWE-200
1087,CWE-17
1088,CWE-254
1089,CWE-20
1090,CWE-79
1091,CWE-89
1092,CWE-200
1093,CWE-20
1094,CWE-59
1095,CWE-295
1096,CWE-200
1097,CWE-17
1098,CWE-20
1099,CWE-264
1100,CWE-611
1101,CWE-362
1102,CWE-119
1103,CWE-20
1104,CWE-119
1105,CWE-20
1106,CWE-264
1107,CWE-17
1108,CWE-284
1109,CWE-79
1110,CWE-22
1111,CWE-119
1112,CWE-362
1113,CWE-681
1114,CWE-284
1115,CWE-77
1116,NVD-CWE-Other
1117,NVD-CWE-Other
1118,CWE-79
1119,CWE-200
1120,CWE-200
1121,NVD-CWE-Other
1122,CWE-601
1123,CWE-189
1124,CWE-295
1125,CWE-426
1126,CWE-352
1127,CWE-310
1128,CWE-119
1129,CWE-79
1130,CWE-189
1131,CWE-119
1132,CWE-189
1133,CWE-119
1134,CWE-476
1135,CWE-264
1136,CWE-22
1137,CWE-189
1138,CWE-362
1139,CWE-200
1140,NVD-CWE-Other
1141,NVD-CWE-Other
1142,CWE-17
1143,CWE-20
1144,CWE-400
1145,CWE-400
1146,CWE-22
1147,CWE-89
1148,CWE-189
1149,CWE-119
1150,CWE-352
1151,CWE-89
1152,CWE-190
1153,CWE-20
1154,CWE-79
1155,NVD-CWE-Other
1156,CWE-17
1157,CWE-200
1158,CWE-200
1159,CWE-200
1160,CWE-20
1161,CWE-79
1162,CWE-352
1163,CWE-119
1164,CWE-264
1165,CWE-20
1166,CWE-20
1167,CWE-20
1168,CWE-704
1169,CWE-416
1170,NVD-CWE-noinfo
1171,CWE-362
1172,CWE-835
1173,CWE-94
1174,NVD-CWE-Other
1175,CWE-295
1176,CWE-59
1177,CWE-79
1178,CWE-119
1179,CWE-59
1180,CWE-200
1181,CWE-399
1182,CWE-79
1183,CWE-399
1184,CWE-399
1185,CWE-74
1186,CWE-79
1187,CWE-200
1188,CWE-200
1189,CWE-352
1190,CWE-79
1191,CWE-79
1192,CWE-79
1193,CWE-79
1194,CWE-89
1195,CWE-78
1196,CWE-20
1197,CWE-22
1198,CWE-200
1199,CWE-416
1200,CWE-190
1201,NVD-CWE-noinfo
1202,CWE-79
1203,CWE-94
1204,CWE-89
1205,CWE-444
1206,CWE-444
1207,CWE-444
1208,CWE-120
1209,CWE-200
1210,CWE-119
1211,CWE-59
1212,CWE-200
1213,CWE-399
1214,CWE-264
1215,CWE-399
1216,CWE-352
1217,CWE-20
1218,CWE-264
1219,CWE-20
1220,CWE-20
1221,CWE-200
1222,CWE-189
1223,CWE-287
1224,CWE-200
1225,CWE-200
1226,NVD-CWE-Other
1227,CWE-79
1228,CWE-534
1229,CWE-601
1230,CWE-90
1231,CWE-200
1232,CWE-284
1233,CWE-79
1234,CWE-611
1235,CWE-79
1236,CWE-20
1237,CWE-119
1238,CWE-369
1239,CWE-476
1240,CWE-20
1241,CWE-77
1242,CWE-362
1243,NVD-CWE-Other
1244,NVD-CWE-Other
1245,CWE-79
1246,CWE-79
1247,CWE-79
1248,CWE-362
1249,CWE-78
1250,CWE-79
1251,CWE-264
1252,CWE-254
1253,CWE-20
1254,CWE-254
1255,CWE-200
1256,CWE-200
1257,CWE-362
1258,CWE-120
1259,CWE-617
1260,CWE-310
1261,CWE-269
1262,CWE-521
1263,CWE-399
1264,CWE-200
1265,CWE-20
1266,CWE-22
1267,CWE-79
1268,NVD-CWE-Other
1269,CWE-199
1270,CWE-200
1271,CWE-352
1272,NVD-CWE-Other
1273,CWE-20
1274,CWE-200
1275,CWE-269
1276,NVD-CWE-Other
1277,CWE-17
1278,CWE-200
1279,CWE-200
1280,CWE-134
1281,CWE-125
1282,NVD-CWE-Other
1283,CWE-772
1284,CWE-264
1285,CWE-200
1286,CWE-20
1287,NVD-CWE-Other
1288,CWE-20
1289,CWE-264
1290,CWE-79
1291,CWE-362
1292,CWE-94
1293,CWE-787
1294,CWE-835
1295,CWE-476
1296,NVD-CWE-Other
1297,CWE-200
1298,CWE-200
1299,CWE-119
1300,CWE-200
1301,CWE-79
1302,NVD-CWE-Other
1303,CWE-918
1304,CWE-352
1305,NVD-CWE-Other
1306,NVD-CWE-Other
1307,CWE-362
1308,CWE-264
1309,CWE-20
1310,CWE-284
1311,CWE-331
1312,CWE-119
1313,CWE-79
1314,CWE-119
1315,CWE-119
1316,CWE-200
1317,CWE-416
1318,CWE-189
1319,CWE-399
1320,CWE-415
1321,CWE-190
1322,NVD-CWE-Other
1323,CWE-125
1324,CWE-476
1325,CWE-835
1326,CWE-119
1327,CWE-416
1328,CWE-200
1329,CWE-19
1330,CWE-399
1331,CWE-264
1332,CWE-476
1333,CWE-119
1334,CWE-125
1335,CWE-399
1336,CWE-416
1337,CWE-415
1338,CWE-362
1339,CWE-416
1340,CWE-200
1341,CWE-264
1342,CWE-264
1343,CWE-476
1344,CWE-264
1345,CWE-264
1346,CWE-362
1347,CWE-77
1348,CWE-93
1349,CWE-93
1350,CWE-200
1351,CWE-327
1352,CWE-20
1353,CWE-399
1354,CWE-400
1355,CWE-125
1356,CWE-125
1357,CWE-79
1358,CWE-79
1359,CWE-787
1360,NVD-CWE-noinfo
1361,CWE-352
1362,CWE-384
1363,CWE-200
1364,CWE-362
1365,NVD-CWE-Other
1366,NVD-CWE-Other
1367,NVD-CWE-Other
1368,CWE-119
1369,CWE-908
1370,CWE-200
1371,CWE-94
1372,CWE-345
1373,CWE-843
1374,CWE-601
1375,CWE-665
1376,CWE-20
1377,CWE-347
1378,CWE-310
1379,CWE-19
1380,CWE-361
1381,CWE-347
1382,CWE-310
1383,CWE-310
1384,CWE-361
1385,CWE-320
1386,CWE-310
1387,CWE-426
1388,CWE-264
1389,CWE-320
1390,CWE-119
1391,CWE-362
1392,CWE-284
1393,CWE-264
1394,CWE-119
1395,CWE-119
1396,CWE-416
1397,CWE-119
1398,CWE-369
1399,CWE-119
1400,CWE-119
1401,CWE-119
1402,CWE-119
1403,CWE-400
1404,CWE-252
1405,CWE-252
1406,CWE-119
1407,CWE-119
1408,CWE-284
1409,CWE-120
1410,CWE-125
1411,CWE-125
1412,CWE-79
1413,CWE-284
1414,CWE-284
1415,CWE-416
1416,CWE-119
1417,CWE-119
1418,CWE-190
1419,CWE-89
1420,CWE-200
1421,CWE-284
1422,CWE-284
1423,CWE-611
1424,CWE-119
1425,CWE-476
1426,CWE-284
1427,CWE-200
1428,CWE-476
1429,CWE-611
1430,CWE-264
1431,CWE-416
1432,CWE-399
1433,CWE-119
1434,CWE-264
1435,CWE-189
1436,CWE-190
1437,CWE-193
1438,CWE-125
1439,CWE-476
1440,CWE-125
1441,CWE-191
1442,CWE-20
1443,CWE-190
1444,CWE-125
1445,CWE-125
1446,CWE-125
1447,CWE-125
1448,CWE-476
1449,CWE-119
1450,CWE-119
1451,CWE-119
1452,CWE-125
1453,CWE-787
1454,CWE-125
1455,CWE-264
1456,CWE-362
1457,CWE-416
1458,CWE-119
1459,CWE-125
1460,CWE-476
1461,CWE-416
1462,CWE-79
1463,CWE-284
1464,CWE-358
1465,CWE-79
1466,CWE-476
1467,CWE-190
1468,CWE-476
1469,CWE-190
1470,CWE-369
1471,CWE-369
1472,CWE-191
1473,CWE-125
1474,CWE-125
1475,CWE-119
1476,CWE-119
1477,CWE-264
1478,CWE-254
1479,CWE-787
1480,CWE-264
1481,CWE-119
1482,CWE-79
1483,CWE-119
1484,CWE-369
1485,CWE-190
1486,CWE-79
1487,CWE-89
1488,CWE-79
1489,CWE-284
1490,CWE-352
1491,CWE-400
1492,CWE-295
1493,CWE-20
1494,CWE-89
1495,CWE-310
1496,CWE-264
1497,CWE-20
1498,CWE-362
1499,CWE-134
1500,CWE-254
1501,CWE-125
1502,CWE-119
1503,CWE-352
1504,CWE-798
1505,CWE-79
1506,CWE-79
1507,CWE-79
1508,NVD-CWE-noinfo
1509,CWE-20
1510,NVD-CWE-Other
1511,CWE-79
1512,CWE-284
1513,CWE-119
1514,CWE-119
1515,CWE-20
1516,CWE-125
1517,CWE-416
1518,CWE-21
1519,CWE-20
1520,CWE-119
1521,CWE-284
1522,CWE-119
1523,CWE-189
1524,CWE-254
1525,CWE-255
1526,NVD-CWE-Other
1527,CWE-200
1528,CWE-200
1529,CWE-79
1530,CWE-254
1531,CWE-200
1532,CWE-79
1533,CWE-200
1534,CWE-79
1535,NVD-CWE-noinfo
1536,CWE-310
1537,CWE-362
1538,CWE-189
1539,CWE-19
1540,CWE-200
1541,CWE-79
1542,CWE-79
1543,CWE-20
1544,CWE-125
1545,NVD-CWE-Other
1546,NVD-CWE-Other
1547,NVD-CWE-Other
1548,NVD-CWE-Other
1549,NVD-CWE-Other
1550,CWE-119
1551,CWE-119
1552,CWE-190
1553,NVD-CWE-noinfo
1554,NVD-CWE-Other
1555,CWE-119
1556,CWE-79
1557,CWE-200
1558,CWE-399
1559,CWE-119
1560,CWE-20
1561,CWE-352
1562,NVD-CWE-Other
1563,CWE-362
1564,CWE-362
1565,CWE-362
1566,CWE-362
1567,CWE-20
1568,CWE-20
1569,CWE-399
1570,CWE-89
1571,CWE-79
1572,CWE-79
1573,CWE-79
1574,CWE-20
1575,CWE-476
1576,CWE-399
1577,CWE-119
1578,CWE-476
1579,CWE-681
1580,CWE-20
